Name;Role;Tier;Score;Trend;Win %;Pick %;Ban %;KDA
Shaco;SUPPORT;D;36.26;-2.13;49.15%;0.86%;15.03%;2.32
Shen;TOP;S;63.84;-0.49;51.99%;4.83%;1.01%;3.0
Shyvana;JUNGLE;A;47.77;-1.32;53.29%;2.07%;0.63%;2.81
Shyvana;TOP;B;43.11;-1.34;51.11%;0.33%;0.67%;2.09
Singed;TOP;A;52.17;4.42;53.18%;1.90%;0.74%;2.13
Singed;MID;A;49.69;1.62;53.89%;0.50%;0.74%;2.83
Sion;TOP;B;46.6;0.56;49.86%;3.41%;0.70%;1.54
Sivir;ADC;B;42.16;-4.46;49.61%;5.27%;2.00%;2.42
Skarner;JUNGLE;A;52.03;8.48;56.99%;0.83%;0.16%;3.1
Skarner;TOP;C;38.71;-2.94;48.63%;0.15%;0.16%;2.26
Sona;SUPPORT;A;52.83;0.52;52.15%;3.46%;0.26%;2.97
Soraka;SUPPORT;S;60.69;-1.05;50.81%;6.96%;3.67%;2.78
Swain;MID;A;53.45;0.97;53.32%;2.21%;3.34%;2.66
Swain;ADC;B;42.85;0.61;53.68%;0.59%;3.34%;2.96
Swain;SUPPORT;B;42.64;-4.58;48.83%;3.22%;3.34%;2.31
Sylas;MID;God;89.57;-1.2;49.36%;14.57%;12.95%;2.16
Syndra;MID;God;81.26;-0.67;51.68%;10.73%;11.95%;2.38
Tahm Kench;TOP;A;47.42;-1.86;50.79%;1.34%;0.68%;2.41
Tahm Kench;SUPPORT;D;34.97;1.09;48.82%;0.71%;0.64%;2.4
Taliyah;MID;B;44.6;-0.23;51.04%;1.51%;1.05%;2.28
Taliyah;JUNGLE;C;36.63;-2.31;48.87%;1.61%;1.05%;2.58
Talon;MID;B;46.23;0.71;50.46%;2.46%;1.69%;2.21
Talon;JUNGLE;D;35.26;-3.0;47.54%;2.17%;1.69%;2.42
Taric;SUPPORT;B;46.26;-5.6;51.95%;1.84%;0.41%;2.7
Teemo;TOP;A;53.16;2.34;50.84%;4.06%;6.82%;1.79
Thresh;SUPPORT;S;63.7;-1.06;49.28%;9.23%;2.29%;2.65
Tristana;ADC;S;58.94;-1.31;52.32%;8.87%;4.73%;2.42
Trundle;JUNGLE;B;44.76;1.64;51.26%;2.38%;1.99%;2.75
Trundle;TOP;D;35.69;-6.3;48.09%;0.74%;2.02%;1.64
Tryndamere;TOP;A;47.48;4.2;50.75%;2.44%;2.94%;1.85
