Name;Role;Tier;Score;Trend;Win %;Pick %;Ban %;KDA
Aatrox;TOP;A;58.25;6.52;49.97%;4.43%;2.03%;1.97
Ahri;MID;A;53.21;-0.24;49.93%;4.62%;1.04%;2.56
Akali;MID;S;65.3;6.51;48.59%;8.16%;12.88%;2.34
Akali;TOP;A;57.87;3.34;48.57%;4.24%;12.88%;2.04
Akshan;MID;S;59.85;0.65;51.46%;4.83%;21.91%;2.23
Akshan;TOP;A;55.89;-0.46;51.58%;2.71%;21.91%;1.97
Alistar;SUPPORT;B;46.08;-2.74;49.92%;3.65%;0.84%;2.51
Amumu;JUNGLE;B;45.69;1.72;50.27%;3.13%;1.51%;2.62
Amumu;SUPPORT;C;35.88;2.55;50.09%;0.44%;1.64%;2.05
Anivia;MID;A;53.38;-1.26;51.97%;3.32%;3.03%;2.66
Anivia;SUPPORT;D;31.74;-1.46;47.66%;0.44%;3.03%;2.18
Annie;MID;A;48.81;6.23;52.45%;2.17%;0.71%;2.39
Aphelios;ADC;C;35.96;-1.67;47.36%;5.79%;1.46%;2.03
Ashe;ADC;B;43.08;-9.95;49.66%;6.03%;1.11%;2.32
Aurelion Sol;MID;B;42.15;-2.74;50.81%;0.89%;0.25%;2.55
Azir;MID;D;32.69;2.09;46.67%;1.12%;0.21%;2.1
Bard;SUPPORT;A;49.81;2.27;50.23%;4.05%;1.00%;2.97
Blitzcrank;SUPPORT;S;67.8;-0.81;51.87%;8.61%;18.23%;2.44
Brand;SUPPORT;B;45.21;-4.17;49.18%;4.68%;5.87%;1.77
Brand;MID;B;41.21;1.44;51.68%;0.82%;6.43%;2.04
Braum;SUPPORT;A;46.74;2.77;50.73%;2.87%;0.39%;2.79
Caitlyn;ADC;God;88.48;-0.16;50.09%;21.30%;18.96%;2.31
Camille;TOP;God;84.61;9.6;50.20%;7.17%;7.54%;1.99
Cassiopeia;MID;B;44.08;-2.0;50.30%;2.43%;1.36%;2.09
Cassiopeia;TOP;D;26.2;-7.91;49.47%;0.68%;1.36%;1.83
Cho'Gath;TOP;A;52.76;2.64;52.82%;2.59%;0.95%;2.2
Cho'Gath;MID;C;37.75;-4.65;49.57%;0.55%;0.95%;2.37
Corki;MID;A;58.2;0.29;49.38%;6.79%;3.91%;2.17
Darius;TOP;God;83.96;16.49;50.37%;6.58%;15.17%;1.87
Diana;JUNGLE;God;82.96;44.71;51.46%;12.19%;12.81%;2.49
Diana;MID;A;49.05;4.03;52.62%;2.17%;12.81%;2.2
Dr. Mundo;TOP;S;62.73;-2.08;51.76%;4.06%;2.97%;2.26
Draven;ADC;B;46.38;-4.53;50.52%;6.30%;12.39%;2.16
Ekko;JUNGLE;A;55.93;-1.56;49.91%;6.16%;4.09%;2.74
Ekko;MID;A;46.78;0.91;49.67%;3.26%;4.09%;2.24
Elise;JUNGLE;B;40.59;-3.1;49.48%;2.22%;1.66%;2.56
Evelynn;JUNGLE;A;48.04;-1.54;49.64%;3.46%;8.85%;2.94
Ezreal;ADC;God;75.98;1.83;49.28%;20.07%;5.20%;2.39
Fiddlesticks;JUNGLE;B;46.01;-1.29;50.54%;2.91%;2.86%;2.68
Fiora;TOP;S;75.08;4.32;50.05%;6.08%;10.76%;1.76
Fizz;MID;A;52.25;1.44;50.83%;3.83%;4.53%;2.46
Galio;MID;A;46.86;0.84;50.38%;2.28%;0.54%;2.71
Galio;SUPPORT;C;36.89;-1.3;48.87%;1.22%;0.54%;2.35
Gangplank;TOP;S;65.59;14.31;47.66%;5.92%;4.44%;1.99
Gangplank;MID;C;36.57;3.4;48.67%;0.90%;4.41%;2.23
Garen;TOP;S;73.99;15.67;51.55%;5.74%;2.13%;2.1
Gnar;TOP;A;47.1;4.58;49.86%;3.05%;0.60%;2.01
Gragas;TOP;C;37.47;-2.35;48.75%;1.96%;0.32%;2.24
Gragas;JUNGLE;C;36.1;-7.55;48.00%;1.64%;0.32%;2.7
Gragas;SUPPORT;D;32.15;-2.55;47.64%;0.49%;0.32%;2.25
Graves;JUNGLE;S;59.84;-9.95;49.28%;7.51%;9.44%;2.58
Graves;TOP;B;42.78;-7.19;49.10%;2.75%;9.44%;1.72
Gwen;TOP;A;54.66;13.03;49.82%;4.23%;2.43%;1.73
Gwen;JUNGLE;C;38.68;5.74;51.35%;0.70%;2.43%;2.36
Hecarim;JUNGLE;S;71.27;12.91;51.18%;8.94%;8.04%;3.02
Heimerdinger;MID;C;35.89;-1.34;49.28%;0.80%;0.81%;1.96
Heimerdinger;ADC;C;34.01;-1.93;51.76%;0.29%;0.81%;2.23
Heimerdinger;SUPPORT;C;33.85;-1.74;49.85%;0.20%;0.92%;1.83
Heimerdinger;TOP;D;24.16;-8.38;48.87%;0.80%;0.81%;1.65
Illaoi;TOP;C;34.11;-3.45;49.16%;2.07%;2.53%;1.49
Irelia;TOP;God;81.35;-5.02;49.10%;6.24%;23.51%;1.58
Irelia;MID;A;48.07;-1.08;48.24%;4.10%;23.51%;1.75
Ivern;JUNGLE;C;38.83;1.46;48.09%;1.21%;0.34%;3.41
Janna;SUPPORT;A;51.92;-3.82;50.56%;4.60%;0.57%;3.0
Jarvan IV;JUNGLE;A;54.92;4.21;51.04%;4.22%;0.54%;3.37
Jax;TOP;God;82.16;3.63;50.68%;6.84%;10.98%;1.63
Jax;JUNGLE;C;34.7;-5.49;49.40%;1.11%;10.39%;2.13
Jayce;TOP;S;73.56;-5.02;49.44%;6.54%;4.13%;1.78
Jayce;MID;B;39.29;-2.3;48.62%;1.97%;4.13%;2.05
Jhin;ADC;God;94.23;3.23;51.03%;24.55%;5.81%;3.01
Jinx;ADC;God;86.76;-1.22;51.32%;22.27%;6.98%;2.43
Kai'Sa;ADC;God;75.52;10.5;49.48%;19.45%;5.95%;2.42
Kalista;ADC;D;31.51;-0.06;49.03%;1.53%;0.27%;2.3
Karma;SUPPORT;S;63.43;6.96;48.91%;10.22%;2.96%;2.73
Karthus;ADC;B;42.26;-1.65;54.98%;0.95%;3.30%;2.23
Karthus;MID;B;42.13;3.77;52.58%;0.41%;3.30%;2.19
Karthus;JUNGLE;B;39.58;0.6;49.39%;2.09%;3.30%;2.45
Kassadin;MID;A;58.16;-7.74;51.42%;4.54%;14.43%;2.49
Katarina;MID;S;61.99;-0.88;49.59%;7.12%;9.89%;2.29
Kayle;TOP;A;48.25;-5.26;50.71%;3.11%;1.19%;1.8
Kayle;MID;B;40.73;-8.21;50.63%;0.97%;1.19%;2.28
Kayn;JUNGLE;S;69.12;1.38;49.95%;9.70%;12.18%;2.41
Kennen;MID;B;40.4;-1.04;51.35%;0.34%;0.67%;2.37
Kennen;TOP;C;35.49;0.47;48.62%;2.00%;0.70%;1.98
Kha'Zix;JUNGLE;S;60.25;-2.33;50.17%;7.47%;7.01%;2.47
Kindred;JUNGLE;B;46.69;-1.77;50.47%;3.87%;2.49%;2.26
Kled;MID;A;48.84;0.0;55.14%;0.19%;0.83%;2.7
Kled;TOP;B;40.27;-4.86;50.36%;1.69%;0.78%;2.32
Kog'Maw;ADC;B;39.8;-2.8;52.79%;1.98%;0.44%;2.21
LeBlanc;MID;A;59.14;-1.18;48.85%;5.79%;11.95%;2.82
Lee Sin;JUNGLE;God;91.89;0.28;48.45%;15.29%;16.26%;2.82
Leona;SUPPORT;S;65.44;-0.99;49.61%;9.88%;13.97%;2.34
Lillia;JUNGLE;B;42.51;-1.69;49.35%;2.74%;0.95%;2.66
Lillia;TOP;D;24.34;-9.25;49.20%;0.40%;1.01%;1.96
Lissandra;MID;A;47.29;1.22;50.65%;2.72%;0.66%;2.41
Lucian;ADC;A;48.48;-7.7;49.26%;8.84%;3.12%;2.25
Lulu;SUPPORT;God;93.56;0.75;50.84%;14.30%;25.68%;3.12
Lux;SUPPORT;God;82.29;-6.67;50.26%;14.64%;12.26%;2.53
Lux;MID;S;66.92;-0.9;51.08%;6.48%;12.26%;2.97
Malphite;TOP;S;67.63;5.41;51.19%;4.68%;4.01%;2.41
Malphite;MID;B;40.23;-3.72;50.49%;0.71%;4.01%;2.4
Malphite;SUPPORT;D;29.17;-1.81;46.13%;0.78%;4.12%;2.05
Malzahar;MID;A;49.57;5.18;50.92%;3.43%;3.03%;2.22
Maokai;SUPPORT;B;39.51;-0.65;50.16%;1.46%;0.16%;2.23
Maokai;TOP;D;24.65;-6.31;49.13%;0.32%;0.17%;2.1
Master Yi;JUNGLE;S;64.59;-3.49;49.74%;7.64%;18.96%;2.02
Miss Fortune;ADC;A;50.67;-1.8;50.10%;8.87%;2.12%;2.3
Mordekaiser;TOP;S;65.95;14.48;49.82%;5.31%;5.99%;1.79
Morgana;SUPPORT;S;71.03;-1.92;49.76%;9.13%;26.95%;2.51
Nami;SUPPORT;S;73.29;-2.3;51.52%;11.30%;2.60%;3.24
Nasus;TOP;S;64.96;7.18;51.83%;4.49%;4.36%;1.98
Nautilus;SUPPORT;S;60.25;2.25;49.81%;8.69%;7.77%;2.32
Neeko;MID;C;37.75;0.46;48.66%;1.30%;0.28%;2.22
Neeko;SUPPORT;D;31.53;2.13;47.99%;0.50%;0.30%;1.95
Nidalee;JUNGLE;A;49.1;-0.37;48.98%;4.41%;2.64%;2.95
Nocturne;JUNGLE;B;39.71;-6.54;48.05%;3.12%;3.24%;2.39
Nunu;JUNGLE;A;55.47;0.61;51.79%;4.35%;2.38%;3.04
Olaf;JUNGLE;C;36.61;5.55;49.07%;1.48%;0.85%;2.45
Olaf;TOP;D;11.03;-6.16;45.46%;0.27%;0.92%;1.63
Orianna;MID;A;47.05;1.97;49.56%;2.89%;0.18%;2.66
Ornn;TOP;A;59.57;4.58;50.83%;4.04%;0.43%;2.3
Pantheon;MID;B;41.54;-2.49;50.80%;1.16%;0.89%;2.25
Pantheon;SUPPORT;D;32.78;-2.48;47.00%;1.78%;0.89%;1.89
Pantheon;TOP;D;30.79;-10.85;49.68%;0.93%;0.89%;2.1
Poppy;JUNGLE;B;41.6;-2.14;49.59%;2.30%;2.30%;2.65
Poppy;TOP;B;39.88;-5.73;49.78%;1.98%;2.30%;2.14
Pyke;SUPPORT;S;59.89;-0.91;49.35%;8.57%;12.77%;2.17
Qiyana;MID;A;56.52;2.17;51.04%;4.73%;13.69%;2.14
Qiyana;JUNGLE;B;42.89;-0.24;48.92%;2.94%;13.69%;2.42
Quinn;TOP;C;36.42;-5.78;51.71%;1.19%;0.51%;1.89
Rakan;SUPPORT;A;54.12;-1.22;50.52%;5.55%;0.41%;2.94
Rammus;JUNGLE;A;48.15;0.36;51.71%;2.41%;3.14%;2.9
Rek'Sai;JUNGLE;A;49.57;-0.79;51.40%;3.69%;2.52%;2.51
Rell;SUPPORT;B;42.96;0.27;50.61%;2.13%;0.49%;2.42
Renekton;TOP;A;50.6;6.84;48.17%;4.10%;2.05%;1.91
Renekton;MID;B;41.32;3.85;51.78%;0.63%;2.05%;2.19
Rengar;JUNGLE;B;39.34;3.97;48.44%;2.97%;2.68%;2.28
Rengar;TOP;D;22.41;-8.95;47.43%;0.91%;2.31%;1.77
Riven;TOP;S;65.68;6.18;51.30%;4.88%;2.30%;1.99
Rumble;MID;B;45.65;1.36;52.28%;0.95%;0.26%;2.64
Rumble;JUNGLE;C;36.12;1.29;49.65%;0.31%;0.26%;2.82
Rumble;TOP;D;25.32;-2.02;47.57%;1.01%;0.26%;2.02
Ryze;MID;C;35.12;-1.72;45.97%;2.15%;0.20%;2.15
Ryze;TOP;D;14.3;-7.36;45.91%;0.43%;0.20%;1.74
Samira;ADC;B;44.4;-3.44;48.52%;7.22%;11.15%;2.19
Sejuani;JUNGLE;B;40.92;-8.34;48.26%;2.29%;0.31%;3.09
Sejuani;TOP;D;30.67;-2.66;50.50%;0.32%;0.34%;2.43
Senna;SUPPORT;B;46.43;-2.7;48.20%;4.94%;1.52%;2.54
Senna;ADC;C;36.3;-2.53;50.62%;0.70%;1.52%;2.82
Seraphine;ADC;B;45.21;5.14;54.15%;0.71%;1.03%;3.07
Seraphine;MID;B;42.18;-1.79;50.09%;0.76%;1.03%;2.9
Seraphine;SUPPORT;B;39.72;-1.97;46.66%;3.69%;1.03%;2.47
Sett;TOP;God;90.23;15.56;49.60%;8.23%;7.37%;1.76
Shaco;JUNGLE;S;62.92;3.87;51.66%;5.98%;17.16%;2.75
Shaco;SUPPORT;B;43.5;3.21;52.04%;1.03%;17.16%;2.44
Shen;TOP;God;88.45;20.45;52.74%;6.34%;2.06%;2.98
Shyvana;JUNGLE;C;35.87;-5.1;48.72%;1.49%;0.25%;2.45
Shyvana;TOP;D;23.83;-11.61;49.83%;0.21%;0.26%;1.88
Singed;TOP;B;39.17;-0.57;50.95%;1.65%;0.42%;2.04
Sion;TOP;A;52.81;4.16;51.27%;3.70%;0.70%;1.63
Sivir;ADC;B;39.74;1.71;51.04%;2.69%;0.46%;2.53
Skarner;JUNGLE;C;33.16;-7.62;47.83%;0.74%;0.16%;2.76
Skarner;TOP;D;23.89;-6.83;48.90%;0.18%;0.16%;2.22
Sona;SUPPORT;A;57.27;-2.71;52.85%;4.94%;1.00%;2.98
Soraka;SUPPORT;S;62.15;-1.48;52.28%;7.25%;4.08%;2.79
Swain;MID;B;44.02;4.28;52.30%;0.40%;1.76%;2.67
Swain;ADC;B;41.33;2.36;53.12%;0.55%;1.76%;2.85
Swain;SUPPORT;B;40.06;-1.79;48.89%;2.54%;1.61%;2.24
Sylas;MID;A;58.98;0.78;49.56%;6.95%;4.24%;2.14
Sylas;TOP;C;33.03;-5.81;47.86%;1.98%;4.24%;1.86
Syndra;MID;A;49.27;2.47;49.35%;4.24%;1.16%;2.26
Tahm Kench;TOP;God;91.8;21.07;51.28%;6.48%;16.24%;2.6
Taliyah;SUPPORT;B;42.4;2.15;53.60%;0.26%;0.18%;2.1
Taliyah;MID;C;38.86;0.0;50.43%;0.25%;0.19%;2.47
Taliyah;JUNGLE;C;36.79;-5.52;49.22%;1.18%;0.19%;2.61
Talon;JUNGLE;S;61.2;-11.56;49.65%;6.45%;21.59%;2.41
Talon;MID;B;43.48;1.37;49.27%;2.14%;21.59%;2.17
Taric;SUPPORT;B;42.25;5.02;50.53%;1.29%;0.16%;2.82
Teemo;TOP;S;62.74;-5.25;49.11%;4.91%;9.60%;1.71
Thresh;SUPPORT;S;69.49;-2.82;48.88%;12.27%;6.42%;2.57
Tristana;ADC;B;40.29;-0.82;49.20%;5.35%;2.39%;2.24
Tristana;MID;C;35.1;0.0;49.32%;0.48%;2.39%;2.0
Trundle;JUNGLE;A;55.13;1.44;52.85%;3.86%;2.60%;2.84
Trundle;TOP;B;44.04;3.38;52.78%;1.84%;2.60%;1.83
Tryndamere;TOP;God;76.6;11.36;51.00%;5.76%;12.72%;1.89
Tryndamere;MID;C;38.31;-6.63;49.93%;0.82%;12.72%;2.09
Twisted Fate;MID;A;49.57;-0.72;48.96%;4.41%;1.32%;2.34
Twitch;ADC;A;50.77;1.31;52.14%;6.69%;4.21%;2.42
Udyr;JUNGLE;C;36.98;-5.24;48.61%;1.73%;0.61%;2.55
Urgot;TOP;S;63.91;13.1;53.01%;4.10%;2.01%;2.0
Varus;ADC;D;31.43;-1.14;48.09%;2.36%;0.19%;2.3
Vayne;ADC;S;72.55;-10.08;51.99%;13.60%;22.28%;2.19
Vayne;TOP;B;41.86;-10.49;51.27%;1.86%;22.28%;1.53
Veigar;MID;A;46.97;-4.8;48.94%;3.79%;1.26%;2.26
Veigar;ADC;C;36.29;-0.33;51.96%;0.64%;1.36%;2.4
Veigar;SUPPORT;D;31.56;0.56;47.50%;0.73%;1.36%;2.02
Vel'Koz;MID;B;45.01;-1.07;51.46%;1.19%;0.52%;2.67
Vel'Koz;SUPPORT;B;39.16;-1.85;49.44%;1.96%;0.55%;2.17
Vex;MID;God;76.85;10.71;50.76%;9.15%;19.25%;2.48
Vex;SUPPORT;D;30.31;-6.68;45.55%;1.44%;19.25%;1.99
Vi;JUNGLE;A;58.46;-3.59;52.20%;5.89%;3.12%;2.45
Viego;JUNGLE;God;82.48;0.59;49.74%;13.03%;14.22%;2.46
Viktor;MID;God;81.46;-0.14;51.10%;10.55%;16.00%;2.35
Viktor;TOP;C;37.59;-11.51;49.80%;1.65%;16.00%;1.88
Vladimir;MID;A;55.71;5.34;51.58%;4.37%;5.72%;2.45
Vladimir;TOP;C;32.87;-6.05;49.12%;1.37%;5.72%;2.03
Volibear;JUNGLE;B;39.63;1.84;49.23%;2.19%;1.48%;2.5
Volibear;TOP;D;32.21;-8.58;46.11%;2.58%;1.48%;1.79
Warwick;JUNGLE;A;52.78;-3.57;49.76%;5.84%;5.60%;2.25
Warwick;TOP;D;31.35;-7.37;49.36%;1.20%;5.60%;1.94
Wukong;TOP;B;43.24;-1.75;50.56%;2.22%;0.61%;2.12
Wukong;JUNGLE;C;32.92;-4.87;48.80%;0.38%;0.62%;2.54
Xayah;ADC;B;40.54;1.61;50.67%;3.87%;0.53%;2.37
Xerath;MID;A;53.25;5.16;51.01%;2.97%;5.53%;3.17
Xerath;SUPPORT;A;49.68;-5.49;49.84%;4.76%;5.53%;2.54
Xin Zhao;JUNGLE;A;57.04;1.14;50.23%;6.76%;4.18%;2.44
Yasuo;MID;God;86.16;-0.04;49.56%;11.77%;24.41%;1.74
Yasuo;TOP;B;39.96;-14.89;47.77%;2.53%;24.41%;1.45
Yasuo;ADC;C;34.41;-3.91;50.52%;1.82%;24.41%;1.95
Yone;MID;S;74.16;-7.47;48.42%;9.35%;27.32%;1.84
Yone;TOP;S;71.87;-20.17;47.59%;5.42%;27.32%;1.58
Yorick;TOP;B;46.07;-0.42;51.30%;2.74%;2.26%;1.65
Yuumi;SUPPORT;God;79.72;-2.67;47.77%;10.75%;28.68%;4.11
Zac;JUNGLE;A;57.82;-0.01;51.43%;4.39%;2.11%;3.61
Zed;MID;God;90.5;-0.27;50.87%;8.84%;41.88%;2.31
Zed;JUNGLE;A;49.18;-5.06;48.63%;3.34%;41.88%;2.47
Ziggs;ADC;B;43.63;-0.16;53.51%;2.20%;0.60%;2.51
Ziggs;MID;C;36.44;-0.6;48.37%;0.86%;0.60%;2.36
Zilean;MID;A;52.2;1.35;54.19%;0.56%;1.40%;3.46
Zilean;SUPPORT;A;49.44;1.68;50.83%;3.38%;1.40%;3.03
Zoe;MID;A;49.77;4.62;49.84%;3.62%;1.41%;2.58
Zyra;SUPPORT;A;49.55;1.74;52.18%;3.85%;1.96%;2.13
Aatrox;TOP;S;66.17;-11.0;48.23%;6.36%;5.83%;1.88
Ahri;MID;God;79.46;-0.88;50.70%;10.48%;10.29%;2.72
Akali;MID;A;56.04;-6.6;47.42%;6.03%;13.84%;2.32
Akali;TOP;B;44.73;-4.9;47.12%;2.93%;13.84%;2.08
Akshan;MID;A;47.55;-4.99;49.50%;3.11%;8.64%;2.23
Akshan;TOP;B;43.63;-1.19;51.55%;1.49%;8.64%;2.03
Alistar;SUPPORT;B;42.34;-5.45;47.39%;3.61%;0.93%;2.36
Amumu;JUNGLE;B;39.49;0.7;48.93%;2.54%;1.10%;2.51
Amumu;SUPPORT;C;35.21;2.14;48.65%;0.29%;1.17%;1.92
Anivia;MID;A;56.22;5.68;51.80%;3.79%;4.21%;2.74
Anivia;SUPPORT;C;34.61;2.74;47.40%;0.41%;4.09%;2.27
Annie;MID;B;43.26;-0.26;49.82%;1.73%;0.65%;2.36
Annie;SUPPORT;C;37.49;10.56;49.45%;0.20%;0.65%;2.19
Aphelios;ADC;D;30.76;-5.09;45.96%;5.67%;0.90%;1.96
Ashe;ADC;A;53.6;7.09;51.85%;7.15%;1.09%;2.46
Ashe;SUPPORT;C;38.59;-0.6;47.36%;1.94%;1.09%;2.4
Aurelion Sol;MID;B;41.85;2.32;49.61%;1.24%;0.41%;2.49
Azir;MID;B;43.3;5.62;48.34%;2.68%;0.54%;2.3
Bard;SUPPORT;A;51.39;2.57;50.81%;3.66%;0.50%;3.07
Blitzcrank;SUPPORT;A;58.0;-5.13;50.82%;6.42%;15.65%;2.44
Brand;SUPPORT;A;48.33;4.04;51.17%;3.78%;5.14%;1.93
Brand;MID;A;47.54;7.05;53.43%;1.11%;5.58%;2.18
Braum;SUPPORT;A;47.79;4.02;50.74%;2.46%;0.33%;2.9
Caitlyn;ADC;B;45.09;-3.74;46.65%;8.47%;5.85%;2.18
Camille;TOP;S;63.83;3.45;47.97%;6.20%;3.80%;1.9
Cassiopeia;MID;B;45.8;1.57;50.18%;2.52%;1.72%;2.17
Cassiopeia;TOP;D;33.14;5.06;50.42%;0.50%;1.66%;1.88
Cho'Gath;TOP;B;43.26;-8.74;49.14%;2.45%;0.86%;2.03
Cho'Gath;MID;B;40.1;-5.43;50.29%;0.62%;0.92%;2.28
Corki;MID;B;42.25;5.54;49.03%;1.92%;0.46%;2.34
Darius;TOP;God;92.94;7.34;51.37%;8.20%;17.63%;1.9
Diana;JUNGLE;S;66.69;-8.3;50.82%;8.00%;8.76%;2.5
Diana;MID;B;45.4;0.42;51.79%;1.43%;8.76%;2.13
Dr. Mundo;TOP;A;50.26;3.72;51.80%;2.31%;1.36%;2.3
Draven;ADC;B;40.93;-0.94;49.80%;5.11%;9.61%;2.11
Ekko;JUNGLE;A;54.85;0.2;51.81%;4.51%;3.13%;2.83
Ekko;MID;B;43.2;-2.81;49.05%;2.20%;3.16%;2.29
Elise;JUNGLE;D;29.66;-4.24;46.42%;1.32%;0.77%;2.51
Evelynn;JUNGLE;C;36.93;-3.9;46.08%;2.78%;5.01%;2.86
Ezreal;ADC;God;90.21;0.99;48.79%;19.40%;5.62%;2.48
Fiddlesticks;JUNGLE;B;45.29;-2.62;50.96%;2.86%;1.93%;2.59
Fiora;TOP;God;87.89;13.04;52.84%;7.02%;17.62%;1.81
Fizz;MID;A;51.02;-3.61;50.53%;3.28%;5.18%;2.5
Galio;MID;A;48.58;1.47;50.72%;2.40%;0.42%;2.65
Galio;SUPPORT;C;36.78;2.73;48.33%;0.56%;0.42%;2.32
Gangplank;TOP;God;88.86;-0.08;48.77%;8.54%;14.40%;2.08
Gangplank;MID;B;40.67;2.11;47.57%;2.01%;14.30%;2.3
Garen;TOP;S;69.9;-3.56;50.86%;5.99%;3.10%;2.05
Gnar;TOP;A;47.9;1.95;49.34%;3.18%;0.64%;2.0
Gragas;MID;B;41.37;2.41;50.87%;0.34%;0.23%;2.51
Gragas;TOP;C;34.12;-2.65;47.97%;1.38%;0.25%;2.05
Gragas;SUPPORT;D;31.02;1.38;45.65%;0.38%;0.23%;2.18
Gragas;JUNGLE;D;28.7;-0.12;46.95%;0.56%;0.23%;2.67
Graves;JUNGLE;God;78.1;-12.23;49.37%;10.68%;12.97%;2.56
Graves;TOP;C;38.4;-9.55;48.12%;2.00%;12.97%;1.79
Gwen;TOP;God;75.22;22.73;49.93%;7.31%;4.80%;1.79
Gwen;JUNGLE;C;38.25;4.44;50.15%;1.58%;4.80%;2.46
Hecarim;JUNGLE;B;44.23;-3.87;48.76%;3.41%;2.48%;2.8
Heimerdinger;MID;B;41.31;-0.72;51.19%;0.86%;0.98%;2.0
Heimerdinger;ADC;D;23.42;-9.47;49.84%;0.22%;0.87%;2.15
Heimerdinger;TOP;D;23.3;-6.84;46.67%;0.61%;0.98%;1.58
Illaoi;TOP;B;43.78;-0.06;49.88%;2.81%;4.41%;1.42
Irelia;TOP;S;62.84;-7.56;49.08%;5.07%;19.45%;1.53
Irelia;MID;A;48.67;-4.25;48.12%;4.29%;19.45%;1.69
Ivern;JUNGLE;C;37.37;4.84;48.54%;1.12%;0.40%;3.29
Ivern;SUPPORT;D;33.36;10.81;46.18%;0.15%;0.40%;2.67
Janna;SUPPORT;S;62.27;3.9;53.81%;5.47%;1.11%;3.38
Jarvan IV;JUNGLE;B;42.38;-0.4;48.48%;2.67%;0.36%;3.14
Jax;TOP;S;69.26;-2.76;49.52%;6.30%;10.48%;1.63
Jax;JUNGLE;C;37.39;1.45;51.42%;1.16%;9.45%;2.12
Jayce;TOP;B;43.72;0.28;49.12%;2.81%;0.53%;1.8
Jayce;MID;B;40.15;3.9;50.82%;0.55%;0.52%;2.13
Jhin;ADC;God;89.73;5.83;51.59%;16.40%;4.18%;3.03
Jinx;ADC;A;58.65;6.73;50.23%;10.16%;1.99%;2.27
Kai'Sa;ADC;God;89.01;18.42;49.49%;19.08%;3.15%;2.48
Kalista;ADC;C;36.17;-2.14;49.06%;4.11%;1.93%;2.35
Karma;SUPPORT;A;55.95;-8.67;48.25%;7.89%;3.65%;2.75
Karma;MID;B;41.05;-4.53;48.20%;1.13%;3.65%;2.93
Karthus;JUNGLE;B;41.23;-4.29;48.35%;3.01%;7.12%;2.53
Karthus;ADC;C;34.73;-3.34;53.50%;0.61%;6.08%;2.29
Karthus;MID;D;31.89;-11.45;46.28%;0.48%;5.18%;2.25
Kassadin;MID;A;53.37;-0.21;50.22%;3.98%;9.58%;2.45
Katarina;MID;S;65.71;-12.73;47.79%;8.46%;14.19%;2.27
Kayle;TOP;God;87.8;18.57;52.03%;8.03%;10.07%;1.87
Kayle;MID;A;56.12;8.58;54.78%;2.60%;10.07%;2.25
Kayn;JUNGLE;God;75.28;-0.95;50.45%;10.02%;11.61%;2.44
Kennen;MID;B;39.88;-4.14;50.25%;0.37%;0.50%;2.42
Kennen;TOP;D;30.47;-9.71;45.99%;1.62%;0.51%;1.95
Kha'Zix;JUNGLE;A;59.35;-11.4;50.53%;6.36%;6.42%;2.63
Kindred;JUNGLE;A;55.16;7.48;51.88%;5.20%;3.97%;2.3
Kled;TOP;C;39.17;-10.23;49.12%;1.60%;0.84%;2.2
Kog'Maw;ADC;S;60.22;18.73;54.22%;7.28%;5.15%;2.34
LeBlanc;MID;B;44.34;-4.98;46.09%;3.23%;6.35%;2.9
Lee Sin;JUNGLE;S;63.59;-8.48;44.98%;10.14%;7.55%;2.56
Leona;SUPPORT;A;53.34;-6.88;49.02%;6.64%;8.12%;2.32
Lillia;JUNGLE;S;67.78;15.75;53.83%;6.51%;3.81%;2.98
Lillia;TOP;B;46.48;5.14;53.05%;1.22%;3.53%;2.29
Lissandra;MID;B;42.23;-6.23;47.79%;2.52%;0.82%;2.4
Lucian;ADC;God;77.18;-9.83;50.52%;12.92%;16.49%;2.37
Lulu;SUPPORT;God;73.01;1.4;49.81%;11.19%;17.34%;3.11
Lux;MID;S;62.23;1.95;52.10%;4.70%;9.03%;2.97
Lux;SUPPORT;S;60.96;-7.99;48.59%;9.23%;9.03%;2.48
Malphite;TOP;S;60.4;2.93;51.99%;3.58%;3.57%;2.5
Malphite;MID;B;39.41;-0.4;49.40%;0.61%;3.60%;2.48
Malphite;SUPPORT;C;34.42;5.89;47.16%;0.74%;3.64%;2.13
Malzahar;MID;A;50.73;0.57;50.72%;3.53%;3.24%;2.24
Maokai;SUPPORT;B;41.41;1.09;50.29%;1.24%;0.14%;2.2
Maokai;TOP;D;33.07;-1.45;49.99%;0.38%;0.14%;2.12
Master Yi;JUNGLE;S;65.41;3.19;50.22%;7.09%;17.45%;2.05
Miss Fortune;ADC;S;60.2;1.3;51.29%;9.50%;2.87%;2.35
Mordekaiser;TOP;God;84.67;1.23;51.54%;7.58%;9.24%;1.96
Mordekaiser;JUNGLE;A;49.92;11.8;55.70%;1.56%;9.99%;2.49
Morgana;SUPPORT;S;61.19;-0.33;50.63%;6.62%;22.25%;2.56
Nami;SUPPORT;God;72.9;-13.83;51.40%;11.40%;6.35%;3.3
Nasus;TOP;S;59.64;8.86;51.97%;4.04%;3.64%;1.95
Nautilus;SUPPORT;S;66.97;-10.75;49.47%;10.58%;17.19%;2.32
Neeko;MID;A;47.74;-2.15;52.13%;1.70%;0.55%;2.39
Neeko;SUPPORT;B;41.19;7.53;50.91%;0.75%;0.61%;2.14
Neeko;TOP;D;33.79;8.15;50.98%;0.25%;0.54%;2.02
